idx_season,team_tri,playerId,firstName.default,lastName.default,positionCode,gamesPlayed,gamesStarted,wins,losses,ties,overtimeLosses,goalsAgainstAverage,savePercentage,shotsAgainst,saves,goalsAgainst,shutouts,goals,assists,points,penaltyMinutes,timeOnIce,idx_season_type,plusMinus,powerPlayGoals,shorthandedGoals,gameWinningGoals,overtimeGoals,shots,shootingPctg,avgTimeOnIcePerGame,avgShiftsPerGame,faceoffWinPctg
2024,BUF,8482896.0,Tyson,Kozak,C,16.0,,,,,,,,,,,,2.0,0.0,2.0,2.0,,,-4.0,1.0,0.0,0.0,0.0,9.0,0.222222,643.5,16.9375,0.486486
2024,BUF,8483468.0,Jiri,Kulich,C,49.0,,,,,,,,,,,,12.0,7.0,19.0,14.0,,,-1.0,0.0,0.0,3.0,1.0,105.0,0.114286,863.1224,20.2449,0.456311
2024,BUF,8484145.0,Zach,Benson,L,62.0,,,,,,,,,,,,10.0,13.0,23.0,54.0,,,-1.0,3.0,0.0,0.0,0.0,93.0,0.107527,874.5161,19.871,0.2
2024,CAR,8474682.0,Dustin,Tokarski,G,6.0,6.0,4.0,2.0,0.0,0.0,2.176845,0.901515,132.0,119.0,13.0,1.0,0.0,0.0,0.0,0.0,21499.0,2.0,,,,,,,,,,
2024,CAR,8475883.0,Frederik,Andersen,G,16.0,16.0,11.0,5.0,0.0,0.0,2.07272,0.918114,403.0,370.0,33.0,1.0,0.0,1.0,1.0,0.0,57316.0,2.0,,,,,,,,,,
2024,CAR,8477484.0,Spencer,Martin,G,9.0,7.0,3.0,4.0,0.0,1.0,3.894387,0.845714,175.0,148.0,27.0,1.0,0.0,0.0,0.0,0.0,24959.0,2.0,,,,,,,,,,
2024,CAR,8481611.0,Pyotr,Kochetkov,G,41.0,41.0,25.0,12.0,0.0,3.0,2.487157,0.903382,1035.0,935.0,101.0,2.0,0.0,3.0,3.0,4.0,146191.0,2.0,,,,,,,,,,
2024,CAR,8484293.0,Yaniv,Perets,G,1.0,0.0,0.0,0.0,0.0,0.0,7.317073,0.857143,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,492.0,2.0,,,,,,,,,,
2024,CAR,8470613.0,Brent,Burns,D,70.0,,,,,,,,,,,,5.0,20.0,25.0,22.0,,,7.0,0.0,0.0,0.0,0.0,160.0,0.03125,1285.7429,25.7857,0.0
2024,CAR,8473533.0,Jordan,Staal,C,69.0,,,,,,,,,,,,12.0,21.0,33.0,16.0,,,14.0,0.0,2.0,3.0,0.0,98.0,0.122449,928.5362,21.4928,0.535599
2024,CAR,8475200.0,Dmitry,Orlov,D,65.0,,,,,,,,,,,,5.0,20.0,25.0,20.0,,,16.0,0.0,0.0,1.0,0.0,101.0,0.049505,1183.3077,23.7692,0.0
2024,CAR,8475791.0,Taylor,Hall,L,66.0,,,,,,,,,,,,15.0,20.0,35.0,28.0,,,-7.0,3.0,0.0,2.0,0.0,123.0,0.121951,901.3333,17.8485,0.458824
2024,CAR,8476873.0,Mark,Jankowski,L,48.0,,,,,,,,,,,,10.0,5.0,15.0,17.0,,,5.0,0.0,0.0,0.0,0.0,53.0,0.188679,740.5833,18.1667,0.5
2024,CAR,8476906.0,Shayne,Gostisbehere,D,61.0,,,,,,,,,,,,7.0,32.0,39.0,30.0,,,3.0,4.0,0.0,0.0,0.0,105.0,0.066667,1102.7049,20.2131,0.0
2024,CAR,8476921.0,Jordan,Martinook,L,70.0,,,,,,,,,,,,13.0,19.0,32.0,16.0,,,17.0,0.0,0.0,3.0,0.0,103.0,0.126214,917.0286,20.7714,0.484848
2024,CAR,8476958.0,Jaccob,Slavin,D,70.0,,,,,,,,,,,,6.0,17.0,23.0,8.0,,,17.0,0.0,0.0,2.0,0.0,97.0,0.061856,1303.2571,25.4143,0.0
2024,CAR,8477478.0,William,Carrier,L,39.0,,,,,,,,,,,,4.0,5.0,9.0,16.0,,,2.0,0.0,0.0,1.0,0.0,42.0,0.095238,696.8718,17.0,0.454545
2024,CAR,8478427.0,Sebastian,Aho,C,69.0,,,,,,,,,,,,26.0,39.0,65.0,42.0,,,5.0,3.0,3.0,9.0,5.0,178.0,0.146067,1212.6377,22.0725,0.558357
2024,CAR,8478458.0,Jack,Roslovic,C,69.0,,,,,,,,,,,,21.0,14.0,35.0,4.0,,,-6.0,1.0,0.0,2.0,0.0,119.0,0.176471,820.2609,17.0725,0.536481
2024,CAR,8478970.0,Jalen,Chatfield,D,70.0,,,,,,,,,,,,6.0,11.0,17.0,28.0,,,23.0,0.0,0.0,2.0,0.0,104.0,0.057692,1133.9143,23.7857,0.0
2024,CAR,8479370.0,Tyson,Jost,C,28.0,,,,,,,,,,,,2.0,2.0,4.0,14.0,,,0.0,0.0,0.0,0.0,0.0,26.0,0.076923,584.0357,12.6071,0.457143
2024,CAR,8479388.0,Riley,Stillman,D,3.0,,,,,,,,,,,,0.0,0.0,0.0,5.0,,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,196.6667,5.0,0.0
2024,CAR,8480336.0,Sean,Walker,D,70.0,,,,,,,,,,,,4.0,10.0,14.0,40.0,,,-1.0,0.0,0.0,0.0,0.0,120.0,0.033333,993.9857,20.5571,0.0
2024,CAR,8480762.0,Eric,Robinson,L,70.0,,,,,,,,,,,,13.0,17.0,30.0,10.0,,,15.0,0.0,0.0,1.0,0.0,97.0,0.134021,722.0714,15.5571,0.225806
2024,CAR,8480829.0,Jesperi,Kotkaniemi,C,70.0,,,,,,,,,,,,11.0,20.0,31.0,48.0,,,10.0,0.0,0.0,1.0,0.0,102.0,0.107843,844.5571,17.7286,0.525974
2024,CAR,8480830.0,Andrei,Svechnikov,R,63.0,,,,,,,,,,,,18.0,25.0,43.0,53.0,,,-8.0,9.0,0.0,2.0,0.0,167.0,0.107784,1048.5873,20.0159,0.25
2024,CAR,8480883.0,Ty,Smith,D,8.0,,,,,,,,,,,,1.0,1.0,2.0,4.0,,,1.0,1.0,0.0,0.0,0.0,14.0,0.071429,819.875,16.25,0.0
2024,CAR,8481576.0,Ryan,Suzuki,C,2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,395.5,9.0,0.571429
2024,CAR,8482093.0,Seth,Jarvis,C,63.0,,,,,,,,,,,,27.0,26.0,53.0,12.0,,,8.0,6.0,4.0,2.0,0.0,165.0,0.163636,1166.0476,22.0,0.328244
2024,CAR,8482666.0,Scott,Morrow,D,7.0,,,,,,,,,,,,1.0,3.0,4.0,0.0,,,2.0,0.0,0.0,0.0,0.0,12.0,0.083333,880.4286,18.1429,0.0
