id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,condensedGame,awayTeam.commonName.fr,winningGoalie.lastName.sv,condensedGameFr,homeTeam.commonName.fr,alternateBroadcasts,specialEvent.parentId,specialEvent.name.default,specialEvent.lightLogoUrl.default,venue.cs,venue.fi,venue.sk,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,specialEvent.lightLogoUrl.fr,specialEvent.name.fr,ticketsLinkFr,tricode_winteam
2024020040,20242025,2,2024-10-13,False,2024-10-14T00:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,20,Flames,Calgary,de Calgary,CGY,4.0,22,Oilers,Edmonton,d'Edmonton,EDM,1.0,REG,3,REG,8478435.0,8477511.0,,,,,,,,,,,,,,,,,,,,,,,,,CGY
2024020039,20242025,2,2024-10-13,False,2024-10-14T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,55,Kraken,Seattle,de Seattle,SEA,0.0,25,Stars,Dallas,de Dallas,DAL,2.0,REG,3,REG,8479193.0,8479351.0,/video/sea-at-dal-condensed-game-6363224258112,,,,,,,,,,,,,,,,,,,,,,,,DAL
2024020041,20242025,2,2024-10-13,False,2024-10-14T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,24,Ducks,Anaheim,d'Anaheim,ANA,1.0,54,Golden Knights,Vegas,de Vegas,VGK,3.0,REG,3,REG,8478492.0,8476881.0,,,,,,,,,,,,,,,,,,,,,,,,,VGK
2024020044,20242025,2,2024-10-14,False,2024-10-14T17:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,59,Utah Hockey Club,Utah,de l'Utah,UTA,0.0,1,Devils,New Jersey,du New Jersey,NJD,3.0,REG,3,REG,8474596.0,8483429.0,,Club de hockey de l'Utah,,,,,,,,,,,,,,,,,,,,,,,NJD
2024020043,20242025,2,2024-10-14,False,2024-10-14T17:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,26,Kings,Los Angeles,de Los Angeles,LAK,7.0,9,Senators,Ottawa,d'Ottawa,OTT,8.0,OT,3,OT,8481544.0,8480064.0,,,Søgaard,,Sénateurs,,,,,,,,,,,,,,,,,,,,OTT
2024020042,20242025,2,2024-10-14,False,2024-10-14T17:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,13,Panthers,Florida,de la Floride,FLA,4.0,6,Bruins,Boston,de Boston,BOS,3.0,REG,3,REG,8475683.0,8482113.0,,,,/fr/video/match-condense-les-panthers-de-la-floride-les-bruins-de-boston-14-10-2024-6363256801112,,,,,,,,,,,,,,,,,,,,,FLA
2024020045,20242025,2,2024-10-14,False,2024-10-14T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,17,Red Wings,Detroit,de Detroit,DET,1.0,3,Rangers,New York,de New York,NYR,4.0,REG,3,REG,8478048.0,8475184.0,,,,,,,,,,,,,,,,,,,,,,,,,NYR
2024020046,20242025,2,2024-10-14,False,2024-10-14T23:30:00Z,-04:00,-04:00,America/Montreal,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,6.0,8,Canadiens,Montréal,de Montréal,MTL,3.0,REG,3,REG,8477465.0,8475763.0,,,,,,,,,,,,,,,,,,,,,,,,,PIT
2024020047,20242025,2,2024-10-14,False,2024-10-15T01:00:00Z,-04:00,-06:00,America/Denver,OFF,OK,2,Islanders,New York,de New York,NYI,6.0,21,Avalanche,Colorado,du Colorado,COL,2.0,REG,3,REG,8478009.0,8475754.0,,,,,,,,,,,,,,,,,,,,,,,,,NYI
2024020049,20242025,2,2024-10-15,False,2024-10-15T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,54,Golden Knights,Vegas,de Vegas,VGK,2.0,15,Capitals,Washington,de Washington,WSH,4.0,REG,3,REG,8480313.0,8481656.0,,,,,,,,,,,,,,,,,,,,,,,,,WSH
