id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,condensedGame,condensedGameFr,awayTeam.commonName.fr,ticketsLinkFr,homeTeam.commonName.fr,winningGoalie.lastName.de,winningGoalie.lastName.es,winningGoalie.lastName.sv,specialEvent.parentId,specialEvent.name.default,specialEvent.lightLogoUrl.default,specialEvent.lightLogoUrl.fr,specialEvent.name.fr,tricode_winteam
2025020054,20252026,2,2025-10-14,False,2025-10-15T01:30:00Z,-04:00,-05:00,US/Central,OFF,OK,30,Wild,Minnesota,du Minnesota,MIN,2.0,25,Stars,Dallas,de Dallas,DAL,5.0,REG,3,REG,8479979.0,8475168.0,/video/min-at-dal-condensed-game-6382778846112,/fr/video/match-condense-wild-stars-14-10-2025-6382779339112,,,,,,,,,,,,DAL
2025020055,20252026,2,2025-10-14,False,2025-10-15T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,12,Hurricanes,Carolina,de la Caroline,CAR,5.0,28,Sharks,San Jose,de San Jose,SJS,1.0,REG,3,REG,8483548.0,8477478.0,,,,,,,,,,,,,,CAR
2025020056,20252026,2,2025-10-14,False,2025-10-15T02:30:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,3.0,24,Ducks,Anaheim,d'Anaheim,ANA,4.0,REG,3,REG,8480843.0,8475184.0,/video/pit-at-ana-condensed-game-6382779200112,/fr/video/match-condense-penguins-ducks-14-10-2025-6382777413112,,,,,,,,,,,,ANA
2025020057,20252026,2,2025-10-15,False,2025-10-15T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,9,Senators,Ottawa,d'Ottawa,OTT,4.0,7,Sabres,Buffalo,de Buffalo,BUF,8.0,REG,3,REG,8479312.0,8475722.0,/video/ott-at-buf-condensed-game-6382823685112,/fr/video/match-condense-senators-sabres-15-10-2025-6382823778112,Sénateurs,,,,,,,,,,,BUF
2025020058,20252026,2,2025-10-15,False,2025-10-15T23:00:00Z,-04:00,-04:00,America/Detroit,OFF,OK,13,Panthers,Florida,de la Floride,FLA,1.0,17,Red Wings,Detroit,de Detroit,DET,4.0,REG,3,REG,8475660.0,8474141.0,/video/fla-at-det-condensed-game-6382820743112,/fr/video/match-condense-panthers-red-wings-15-10-2025-6382822006112,,,,,,,,,,,,DET
2025020060,20252026,2,2025-10-15,False,2025-10-16T01:30:00Z,-04:00,-06:00,America/Denver,OFF,OK,20,Flames,Calgary,de Calgary,CGY,1.0,68,Mammoth,Utah,de l'Utah,UTA,3.0,REG,3,REG,8478872.0,8482175.0,/video/cgy-at-uta-condensed-game-6382827942112,/fr/video/match-condense-flames-mammoth-15-10-2025-6382826372112,,,,,,,,,,,,UTA
2025020059,20252026,2,2025-10-15,False,2025-10-16T01:30:00Z,-04:00,-05:00,US/Central,OFF,OK,16,Blackhawks,Chicago,de Chicago,CHI,8.0,19,Blues,St. Louis,de St. Louis,STL,3.0,REG,3,REG,8482821.0,8483493.0,/video/chi-at-stl-condensed-game-6382828431112,/fr/video/match-condense-blackhawks-blues-15-10-2025-6382826481112,,,,,,Söderblom,,,,,,CHI
2025020064,20252026,2,2025-10-16,False,2025-10-16T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,13,Panthers,Florida,de la Floride,FLA,1.0,1,Devils,New Jersey,du New Jersey,NJD,3.0,REG,3,REG,8474596.0,8478414.0,/video/fla-at-njd-condensed-game-6382870589112,/fr/video/match-condense-panthers-devils-16-10-2025-6382869711112,,,,,,,,,,,,NJD
2025020063,20252026,2,2025-10-16,False,2025-10-16T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,55,Kraken,Seattle,de Seattle,SEA,3.0,9,Senators,Ottawa,d'Ottawa,OTT,4.0,SO,3,SO,8476999.0,,/video/sea-at-ott-condensed-game-6382871805112,/fr/video/match-condense-kraken-senators-16-10-2025-6382869612112,,,Sénateurs,,,,,,,,,OTT
2025020066,20252026,2,2025-10-16,False,2025-10-16T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,52,Jets,Winnipeg,de Winnipeg,WPG,5.0,4,Flyers,Philadelphia,de Philadelphie,PHI,2.0,REG,3,REG,8476945.0,8480289.0,/video/wpg-at-phi-condensed-game-6382871476112,/fr/video/match-condense-jets-flyers-16-10-2025-6382871757112,,,,,,,,,,,,WPG
